ExperimentalConditions,55mAcm^-2pH4,55mAcm^-2pH10,40mAcm^-2pH4,40mAcm^-2pH10,25mAcm^-2pH4,25mAcm^-2pH10,Labels
COA0.02,0.143525,-0.44513,0.141275,-0.321785,0.1233245,-0.605003456,0
COA0.02,0.184705,-0.3673,0.16073,-0.3095,0.0345995,-0.469002196,0
COA0.02,0.15878,-0.50047,0.17828,-0.351535,0.0646485,-0.416671765,0
COA0.02,0.1917,-0.44957,0.16544,-0.405,0.0601025,-0.425999245,0
COA0.02,0.20976,-0.32422,0.0987845,-0.51033,0.12802,-0.331653294,0
COA0.02,0.150675,-0.48229,0.109114,-0.41458,0.163105,-0.350659737,0
COA0.02,0.14659,-0.38891,0.0998265,-0.2737,0.039924,-0.498913613,0
COA0.02,0.15366,-0.43671,0.100064,-0.32951,0.084361,-0.389743486,0
COA0.2,1.57175,-0.45494,1.3799,-0.35193,0.67486,-0.450885,1
COA0.2,1.5088,-0.47173,1.42955,-0.293805,0.55252,-0.45345,1
COA0.2,1.824,-0.40442,1.0952,-0.32833,0.888755,-0.471165,1
COA0.2,1.795,-0.30154,1.42035,-0.39032,0.79815,-0.376925,1
COA0.2,1.90685,-0.262035,1.0719,-0.42135,0.772035,-0.457365,1
COA0.2,1.93405,-0.332695,1.2934,-0.359,0.72154,-0.482935,1
COA0.2,1.86605,-0.3136,1.1805,-0.38991,0.796655,-0.40443,1
COA0.2,2.0621,-0.39598,1.706483333,-0.46357,0.765885,-0.41727,1
COA2,3.80005,-0.24854,2.066,-0.38686,1.13055,-0.36751,2
COA2,3.88595,-0.279725,2.2585,-0.252325,0.76481,-0.39749,2
COA2,3.6994,-0.33584,2.4834,-0.167315,1.11681,-0.448455,2
COA2,3.693,-0.309735,2.18535,-0.412825,1.10103,-0.507555,2
COA2,3.76865,-0.3417,2.21015,-0.319775,1.1125,-0.37104,2
COA2,3.9113,-0.359585,2.14725,-0.41417,0.887395,-0.48102,2
COA2,3.65895,-0.29177,2.43875,-0.37136,0.85717,-0.438225,2
COA2,3.78795,-0.366285,2.0503,-0.272984355,0.88625,-0.096397,2
BSA0.02,0.316945,-0.37004,0.235565,-0.447035,0.1449585,-0.448295,3
BSA0.02,0.37144,-0.388355,0.379065,-0.5543,0.203415,-0.3151,3
BSA0.02,0.39786,-0.38564,0.347585,-0.40575,0.1382,-0.408425,3
BSA0.02,0.342825,-0.438675,0.29137,-0.49021,0.16006,-0.44519,3
BSA0.02,0.351285,-0.350285,0.361175,-0.454785,0.159675,-0.472995,3
BSA0.02,0.35203,-0.32887,0.37138,-0.425425,0.141435,-0.384935,3
BSA0.02,0.331565,-0.3895,0.28553,-0.408495,0.159155,-0.46205,3
BSA0.02,0.381905,-0.50963,0.325575,-0.398885,0.202165,-0.467425,3
BSA0.2,1.2499,-0.33078,0.431595,-0.292695,0.41365,-0.461165,4
BSA0.2,1.1123,-0.374565,0.4617,-0.252995,0.424795,-0.37839,4
BSA0.2,1.2003,-0.414765,0.44023,-0.31987,0.346765,-0.37381,4
BSA0.2,1.29465,-0.41571,0.577895,-0.348525,0.34431,-0.447545,4
BSA0.2,1.2975,-0.357285,0.457075,-0.45754,0.39091,-0.56175,4
BSA0.2,1.2632,-0.30196,0.47688,-0.378355,0.31802,-0.40933,4
BSA0.2,1.102615,-0.356955,0.466285,-0.327455,0.33178,-0.344645,4
BSA0.2,1.5848,-0.39974,0.490045,-0.456835,0.382845,-0.3617,4
BSA2,2.88435,-0.261955,0.60755,-0.0846585,0.38568,-0.352325,5
BSA2,2.3951,-0.30532,0.78121,-0.288425,0.454715,-0.345705,5
BSA2,2.5699,-0.166319,0.573215,-0.234095,0.45686,-0.428425,5
BSA2,2.5598,-0.26808,0.548255,-0.30193,0.4771,-0.43997,5
BSA2,2.2945,-0.27629,0.54985,-0.38688,0.47634,-0.43057,5
BSA2,2.73395,-0.37245,0.633205,-0.39492,0.42755,-0.388035,5
BSA2,2.2721,-0.24507,0.631395,-0.42457,0.3502,-0.41367,5
BSA2,2.52815,-0.31681,0.561465,-0.293665,0.39989,-0.35512,5
AV0.02,0.098513,-0.43282,0.115115,-0.3811,0.058509,-0.38065,6
AV0.02,0.0989775,-0.381785,0.1141,-0.44836,0.080136,-0.352385,6
AV0.02,0.0705215,-0.380755,0.1132345,-0.421655,0.100528,-0.378495,6
AV0.02,0.053357,-0.36587,0.0930805,-0.453375,0.1097535,-0.402945,6
AV0.02,0.140945,-0.469645,0.10816,-0.359275,0.121355,-0.192605,6
AV0.02,0.085528,-0.442375,0.12432,-0.183385,0.0244015,-0.13446,6
